year,city,country,avg_temp,10_year_avg_temp
1881,Tianjin,China,11.36,11.571
1882,Tianjin,China,11.84,11.616
1883,Tianjin,China,11.25,11.565
1884,Tianjin,China,10.82,11.465
1885,Tianjin,China,11.07,11.394
1886,Tianjin,China,11.41,11.307
1887,Tianjin,China,11.33,11.313
1888,Tianjin,China,11.13,11.288
1889,Tianjin,China,11.09,11.244
1890,Tianjin,China,11.98,11.328
1891,Tianjin,China,12,11.392
1892,Tianjin,China,11.21,11.329
1893,Tianjin,China,10.96,11.3
1894,Tianjin,China,12.13,11.431
1895,Tianjin,China,10.86,11.41
1896,Tianjin,China,11.34,11.403
1897,Tianjin,China,11.37,11.407
1898,Tianjin,China,12.49,11.543
1899,Tianjin,China,12.48,11.682
1900,Tianjin,China,12.01,11.685
1901,Tianjin,China,11.71,11.656
1902,Tianjin,China,12.66,11.801
1903,Tianjin,China,12.12,11.917
1904,Tianjin,China,11.69,11.873
1905,Tianjin,China,11.25,11.912
1906,Tianjin,China,11.32,11.91
1907,Tianjin,China,11.6,11.933
1908,Tianjin,China,11.32,11.816
1909,Tianjin,China,11.15,11.683
1910,Tianjin,China,11.08,11.59
1911,Tianjin,China,10.93,11.512
1912,Tianjin,China,10.95,11.341
1913,Tianjin,China,11.29,11.258
1914,Tianjin,China,12.07,11.296
1915,Tianjin,China,10.98,11.269
1916,Tianjin,China,11.13,11.25
1917,Tianjin,China,10.97,11.187
1918,Tianjin,China,11.21,11.176
1919,Tianjin,China,11.91,11.252
1920,Tianjin,China,12.28,11.372
1921,Tianjin,China,11.85,11.464
1922,Tianjin,China,11.78,11.547
1923,Tianjin,China,11.48,11.566
1924,Tianjin,China,11.74,11.533
1925,Tianjin,China,11.63,11.598
1926,Tianjin,China,11.95,11.68
1927,Tianjin,China,12,11.783
1928,Tianjin,China,11.69,11.831
1929,Tianjin,China,11.9,11.83
1930,Tianjin,China,12.01,11.803
1931,Tianjin,China,11.45,11.763
1932,Tianjin,China,11.96,11.781
1933,Tianjin,China,11.22,11.755
1934,Tianjin,China,11.4,11.721
1935,Tianjin,China,12.37,11.795
1936,Tianjin,China,11.08,11.708
1937,Tianjin,China,11.79,11.687
1938,Tianjin,China,12.14,11.732
1939,Tianjin,China,12.37,11.779
1940,Tianjin,China,12.25,11.803
1941,Tianjin,China,12.39,11.897
1942,Tianjin,China,12.41,11.942
1943,Tianjin,China,12.56,12.076
1944,Tianjin,China,11.95,12.131
1945,Tianjin,China,12.34,12.128
1946,Tianjin,China,12.51,12.271
1947,Tianjin,China,10.83,12.175
1948,Tianjin,China,12.57,12.218
1949,Tianjin,China,12.39,12.22
1950,Tianjin,China,11.9,12.185
1951,Tianjin,China,12.02,12.148
1952,Tianjin,China,11.71,12.078
1953,Tianjin,China,11.96,12.018
1954,Tianjin,China,11.34,11.957
1955,Tianjin,China,12.21,11.944
1956,Tianjin,China,10.84,11.777
1957,Tianjin,China,11.16,11.81
1958,Tianjin,China,12.1,11.763
1959,Tianjin,China,12.39,11.763
1960,Tianjin,China,12.24,11.797
1961,Tianjin,China,12.95,11.89
1962,Tianjin,China,12.24,11.943
1963,Tianjin,China,12.36,11.983
1964,Tianjin,China,11.63,12.012
1965,Tianjin,China,12.36,12.027
1966,Tianjin,China,11.87,12.13
1967,Tianjin,China,11.69,12.183
1968,Tianjin,China,12.13,12.186
1969,Tianjin,China,10.86,12.033
1970,Tianjin,China,11.47,11.956
1971,Tianjin,China,11.86,11.847
1972,Tianjin,China,11.99,11.822
1973,Tianjin,China,12.17,11.803
1974,Tianjin,China,11.79,11.819
1975,Tianjin,China,12.99,11.882
1976,Tianjin,China,11.59,11.854
1977,Tianjin,China,12.34,11.919
1978,Tianjin,China,12.42,11.948
1979,Tianjin,China,11.89,12.051
1980,Tianjin,China,11.85,12.089
1981,Tianjin,China,12.22,12.125
1982,Tianjin,China,12.74,12.2
1983,Tianjin,China,12.86,12.269
1984,Tianjin,China,11.7,12.26
1985,Tianjin,China,11.44,12.105
1986,Tianjin,China,12.03,12.149
1987,Tianjin,China,12.35,12.15
1988,Tianjin,China,12.51,12.159
1989,Tianjin,China,13.07,12.277
1990,Tianjin,China,12.72,12.364
1991,Tianjin,China,12.36,12.378
1992,Tianjin,China,12.48,12.352
1993,Tianjin,China,12.47,12.313
1994,Tianjin,China,13.29,12.472
1995,Tianjin,China,12.81,12.609
1996,Tianjin,China,12.31,12.637
1997,Tianjin,China,13.06,12.708
1998,Tianjin,China,13.55,12.812
1999,Tianjin,China,13.4,12.845
2000,Tianjin,China,12.88,12.861
2001,Tianjin,China,13.06,12.931
2002,Tianjin,China,13.39,13.022
2003,Tianjin,China,12.84,13.059
2004,Tianjin,China,13.29,13.059
2005,Tianjin,China,12.89,13.067
2006,Tianjin,China,13.25,13.161
2007,Tianjin,China,13.7,13.225
2008,Tianjin,China,13.12,13.182
2009,Tianjin,China,12.97,13.139
2010,Tianjin,China,12.25,13.076
2011,Tianjin,China,12.77,13.047
2012,Tianjin,China,12.29,12.937
2013,Tianjin,China,14.14,13.067
